entry_time,exit_time,symbol,timeframe,asset_class,direction,exit_reason,label,gross_r,cost_r,net_r,risk_amount,money_pnl,equity_after,open_slots_in_use
2024-06-14 14:30:00+00:00,2024-06-17 13:30:00+00:00,PG,1h,us_stocks,short,sl,0,-1.0,0.181,-1.181,100.0,-118.1,9881.9,1
2024-06-16 11:00:00+00:00,2024-06-16 14:00:00+00:00,BNB-USD,1h,crypto,short,sl,0,-1.0,1.4565,-2.4565,98.82,-242.75,9639.15,2
2024-06-17 01:00:00+00:00,2024-06-17 02:00:00+00:00,BNB-USD,1h,crypto,long,sl,0,-1.0,1.853,-2.853,96.39,-275.0,9364.15,2
2024-06-17 01:00:00+00:00,2024-06-17 02:00:00+00:00,SOL-USD,1h,crypto,long,sl,0,-1.0,0.5777,-1.5777,93.64,-147.74,9216.41,3
2024-06-17 02:00:00+00:00,2024-06-17 03:00:00+00:00,BTC-USD,1h,crypto,long,sl,0,-1.0,2.8514,-3.8514,92.16,-354.96,8861.45,2
2024-06-17 04:00:00+00:00,2024-06-17 08:00:00+00:00,ETH-USD,4h,crypto,long,sl,0,-1.0,0.441,-1.441,88.61,-127.69,8733.76,2
2024-06-17 08:00:00+00:00,2024-06-17 12:00:00+00:00,SOL-USD,4h,crypto,long,sl,0,-1.0,0.2361,-1.2361,87.34,-107.96,8625.8,2
024-06-19 04:00:00+00:00,2024-06-19 14:00:00+00:00,BTC-USD,1h,crypto,short,tp,1,3.0,1.3548,1.6452,72.03,118.51,7321.37,5
22024-06-17 13:00:00+00:00,2024-06-17 14:00:00+00:00,GC=F,1h,commodities,short,sl,0,-1.0,0.5517,-1.5517,86.26,-133.85,8491.96,2
2024-06-17 14:30:00+00:00,2024-06-17 17:30:00+00:00,^DJI,1h,indices,short,sl,0,-1.0,0.2339,-1.2339,84.92,-104.78,8387.18,1
2024-06-17 15:00:00+00:00,2024-06-17 17:00:00+00:00,NZDUSD=X,1h,fx,short,sl,0,-1.0,0.1686,-1.1686,83.87,-98.01,8289.16,2
2024-06-17 16:00:00+00:00,2024-06-17 18:00:00+00:00,HG=F,1h,commodities,short,sl,0,-1.0,0.5204,-1.5204,82.89,-126.02,8163.14,3
2024-06-17 16:30:00+00:00,2024-06-18 13:30:00+00:00,CVX,1h,us_stocks,short,sl,0,-1.0,0.186,-1.186,81.63,-96.82,8066.32,4
2024-06-17 17:00:00+00:00,2024-06-17 18:00:00+00:00,NZDUSD=X,1h,fx,short,sl,0,-1.0,0.1797,-1.1797,80.66,-95.16,7971.16,4
2024-06-17 17:30:00+00:00,2024-06-17 18:30:00+00:00,AMZN,1h,us_stocks,short,sl,0,-1.0,0.178,-1.178,79.71,-93.9,7877.27,4
2024-06-18 00:00:00+00:00,2024-06-18 01:00:00+00:00,BTC-USD,1h,crypto,long,sl,0,-1.0,0.407,-1.407,78.77,-110.84,7766.43,2
2024-06-18 01:00:00+00:00,2024-06-18 02:00:00+00:00,XRP-USD,1h,crypto,long,sl,0,-1.0,1.6245,-2.6245,77.66,-203.83,7562.6,2
2024-06-18 01:00:00+00:00,2024-06-18 02:00:00+00:00,SI=F,1h,commodities,long,sl,0,-1.0,0.5637,-1.5637,75.63,-118.26,7444.34,3
2024-06-18 05:00:00+00:00,2024-06-18 06:00:00+00:00,GC=F,1h,commodities,long,sl,0,-1.0,0.9356,-1.9356,74.44,-144.09,7300.25,2
